name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJhcQ-1UvafkcREQWtMI2uyIM,ChIJhcQ-1UvafkcREQWtMI2uyIM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Cristoforo Moro, 2, 35141 Padova PD, Italy",4.1,,
places/ChIJ-0Py_KTafkcRQCpz5LK1eMc,ChIJ-0Py_KTafkcRQCpz5LK1eMc,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","Via dell'Ippodromo, 4, 35129 Padova PD, Italy",4.1,,
places/ChIJmShy2QTbfkcRoPeMDtwZ6pE,ChIJmShy2QTbfkcRoPeMDtwZ6pE,"['pizza_restaurant', 'italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Jacopo Crescini, 99, 35126 Padova PD, Italy",4.1,,
places/ChIJ3QzdNFDafkcRBrO_ywlNWs4,ChIJ3QzdNFDafkcRBrO_ywlNWs4,"['hotel', 'convention_center', 'event_venue', 'bar', 'lodging', 'point_of_interest', 'establishment']","Via dell'Arco, 2, 35122 Padova PD, Italy",4.1,,
places/ChIJtSDfulHafkcRXqCEUnZKrN0,ChIJtSDfulHafkcRXqCEUnZKrN0,"['bar', 'hamburger_restaurant', 'vegan_restaurant', 'fast_food_restaurant', 'vegetarian_restaurant', 'sandwich_shop', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Roma, 69, 35122 Padova PD, Italy",4.4,,
places/ChIJuQSdGbPbfkcRWagk-0DjIIg,ChIJuQSdGbPbfkcRWagk-0DjIIg,"['bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Francesco Nullo, 6, 35122 Padova PD, Italy",4.3,,
places/ChIJez3mtJLbfkcRkFmBI3AbBgo,ChIJez3mtJLbfkcRkFmBI3AbBgo,"['restaurant', 'fast_food_restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","Piazzale della Stazione, 4, 35131 Padova PD, Italy",3.8,,
places/ChIJIXkQY5_rgUcRXE1-C0FCeR0,ChIJIXkQY5_rgUcRXE1-C0FCeR0,"['restaurant', 'sandwich_shop', 'grocery_store', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","Autostrada Torino- Trieste, 4, 35100 Padova PD, Italy",3.8,,
places/ChIJhx51N2_bfkcRhU5UA82pJqY,ChIJhx51N2_bfkcRhU5UA82pJqY,"['pizza_restaurant', 'italian_restaurant', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Pietro Bembo, 149, 35124 Padova PD, Italy",4.2,,
places/ChIJ-y2_lD7afkcRfuWr-pW2IEU,ChIJ-y2_lD7afkcRfuWr-pW2IEU,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Giacinto Carini, 5, 35138 Padova PD, Italy",4.3,,
places/ChIJ2x4rCOzafkcRLZ0HUZrw_SE,ChIJ2x4rCOzafkcRLZ0HUZrw_SE,"['fast_food_restaurant', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Venezia, 92, 35131 Padova PD, Italy",3.5,,
places/ChIJ81IpJZTZfkcR-hM8h-BN7aw,ChIJ81IpJZTZfkcR-hM8h-BN7aw,"['pizza_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Fornace Morandi, 24/B, 35133 Padova PD, Italy",4,,
places/ChIJ4VnhIP_bfkcR4gvnFrfodKw,ChIJ4VnhIP_bfkcR4gvnFrfodKw,"['bar', 'food', 'point_of_interest', 'establishment']","Via Guizza Conselvana, 196, 35125 Padova PD, Italy",4.1,,
