name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJtbw9Ow_afkcRVPmYPV7w85Y,ChIJtbw9Ow_afkcRVPmYPV7w85Y,"['fast_food_restaurant', 'hamburger_restaurant', 'breakfast_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Corso Australia, 4, 35136 Padova PD, Italy",3.9,,
places/ChIJrzxAcjTZfkcR-_oZ1mU6F9I,ChIJrzxAcjTZfkcR-_oZ1mU6F9I,"['pizza_restaurant', 'sandwich_shop', 'ice_cream_shop', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via San Lorenzo, 13, 35031 Abano Terme PD, Italy",4,,
places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk,ChIJ_0KcCADbfkcRZ8PDOxP_nGk,"['hamburger_restaurant', 'bar', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Alessandro Manzoni, 51, 35126 Padova PD, Italy",4.1,,
places/ChIJxas2v1DafkcRUuZo6b8jQPI,ChIJxas2v1DafkcRUuZo6b8jQPI,"['ramen_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Cesare Battisti, 44, 35100 Padova PD, Italy",4.4,,
places/ChIJh3amc1rbfkcRsUfx3EC_jfE,ChIJh3amc1rbfkcRsUfx3EC_jfE,"['pizza_restaurant', 'italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Santo, 102, 35123 Padova PD, Italy",3.8,,
places/ChIJuwNm3VDafkcRGc0A31wXl5k,ChIJuwNm3VDafkcRGc0A31wXl5k,"['bar', 'sandwich_shop', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via S. Francesco, 44, 35121 Padova PD, Italy",4.4,,
places/ChIJj3zU40_afkcRMYTeY49Qdg8,ChIJj3zU40_afkcRMYTeY49Qdg8,"['bar', 'point_of_interest', 'establishment']","Piazza delle Erbe, 41, 35122 Padova PD, Italy",4.3,,
places/ChIJBVlgsTnafkcRJeoTzoYd0XE,ChIJBVlgsTnafkcRJeoTzoYd0XE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Vicenza, 23, 35138 Padova PD, Italy",4,,
places/ChIJuU6dlkXafkcRLJtARyhyfYI,ChIJuU6dlkXafkcRLJtARyhyfYI,"['italian_restaurant', 'wedding_venue', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']","Corso Milano, 22, 35139 Padova PD, Italy",4.3,,
places/ChIJV2M7GFPafkcRM93CmDUQpq4,ChIJV2M7GFPafkcRM93CmDUQpq4,"['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']","Prato della Valle, 117, 35123 Padova PD, Italy",4.3,,
places/ChIJIWm-lxXbfkcR2SZ0UBpubvk,ChIJIWm-lxXbfkcR2SZ0UBpubvk,"['ramen_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Santo, 113, 35123 Padova PD, Italy",4.6,,
places/ChIJAYYtjDLbfkcRbhEnwoYqiS0,ChIJAYYtjDLbfkcRbhEnwoYqiS0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Adriatica, 63, 35125 Padova PD, Italy",4.4,,
places/ChIJWdpV5_7RfkcRI93ap-aXK90,ChIJWdpV5_7RfkcRI93ap-aXK90,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Vivarini, 22, 35133 Padova PD, Italy",4.5,,
places/ChIJ8cw2LlLafkcRoswH5B8vNBU,ChIJ8cw2LlLafkcRoswH5B8vNBU,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Umberto I°, 15/17, 35100 Padova PD, Italy",4.1,,
places/ChIJ3UsowFDafkcR9WHsVtRoxeY,ChIJ3UsowFDafkcR9WHsVtRoxeY,"['restaurant', 'grocery_store', 'bar', 'store', 'food', 'point_of_interest', 'establishment']","Via Zabarella, 23, 35121 Padova PD, Italy",4.1,,
places/ChIJ-y2_lD7afkcRfuWr-pW2IEU,ChIJ-y2_lD7afkcRfuWr-pW2IEU,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Giacinto Carini, 5, 35138 Padova PD, Italy",4.3,,
places/ChIJu9bZt0_afkcRsYoU1BCI1SI,ChIJu9bZt0_afkcRsYoU1BCI1SI,"['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']","Via Obizzi, 2 Adiacente, 35122 Padova PD, Italy",4.4,,
places/ChIJyw1lHP_ZfkcRmBOh3bn0fq8,ChIJyw1lHP_ZfkcRmBOh3bn0fq8,"['tourist_attraction', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Capitello, 66, 35136 Padova PD, Italy",4.3,,
places/ChIJ4aOff1rafkcRLpeSS2KAsPI,ChIJ4aOff1rafkcRLpeSS2KAsPI,"['pizza_restaurant', 'italian_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazza Camillo Benso Conte di Cavour, 20, 35122 Padova PD, Italy",4.2,,
places/ChIJu1hZhe_afkcRP9DllyZrTwM,ChIJu1hZhe_afkcRP9DllyZrTwM,"['restaurant', 'cultural_center', 'pizza_restaurant', 'event_venue', 'bar', 'food', 'point_of_interest', 'establishment']","Via Ludovico Ariosto, 10, 35128 Padova PD, Italy",4.2,,
places/ChIJQR9o0zTafkcRA76TSnrQuiw,ChIJQR9o0zTafkcRA76TSnrQuiw,"['restaurant', 'pizza_restaurant', 'hamburger_restaurant', 'meal_takeaway', 'american_restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Sorio, 64/A, 35141 Padova PD, Italy",4.2,,
places/ChIJpRELuhrafkcRnDlt89IH6Ms,ChIJpRELuhrafkcRnDlt89IH6Ms,"['athletic_field', 'bar', 'point_of_interest', 'establishment']","Viale Nereo Rocco, 35136 Padova PD, Italy",4.4,,
places/ChIJU6EOI6PbfkcRwIMN0vUMDSA,ChIJU6EOI6PbfkcRwIMN0vUMDSA,"['hamburger_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Armistizio, 9, 35142 Padova PD, Italy",4.4,,
places/ChIJXz4wKkXafkcRwwTNqexhh4M,ChIJXz4wKkXafkcRwwTNqexhh4M,"['sushi_restaurant', 'cafe', 'japanese_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Martiri della Libertà, 7, 35137 Padova PD, Italy",4.3,,
places/ChIJXz4wKkXafkcRwwTNqexhh4M,ChIJXz4wKkXafkcRwwTNqexhh4M,"['sushi_restaurant', 'cafe', 'japanese_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Martiri della Libertà, 7, 35137 Padova PD, Italy",4.3,,
places/ChIJL7_PE1fafkcRgSh4yy4s7hY,ChIJL7_PE1fafkcRgSh4yy4s7hY,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Santa Sofia, 1, 35121 Padova PD, Italy",4.3,,
